Time,SR830 Frequency,SIM928 Voltage,Sequence Number
1721382793.063701,0.0,1.0,1
1721382793.7499,0.0,2.0,2
1721382794.6338198,0.0,3.0,3
1721382795.2152832,0.0,4.0,4
1721382795.7946932,0.0,5.0,5
