Time,SR830 Frequency,SIM928 Voltage,Sequence Number
1721382047.1452196,1000,5.0,1
1721382047.2591457,2000,5.0,2
1721382047.465144,3000,5.0,3
1721382047.6040862,4000,5.0,4
1721382047.7341478,5000,5.0,5
