Time,ITC Temperature,ITC D Value,SIM928 Voltage,Sequence Number
1721288825.5661137,813.1,0.0,1.0,1
1721288826.1856356,813.1,0.0,2.0,2
1721288826.9621046,813.1,0.0,3.0,3
1721288827.5889544,813.1,0.0,4.0,4
1721288828.0440242,813.1,0.0,5.0,5
