Time,ITC Temperature,ITC D Value,SIM928 Voltage,Sequence Number
1721374281.2311797,813.1,0.0,1.0,1
1721374281.7729673,813.1,0.0,2.0,2
1721374282.2211258,813.1,0.0,3.0,3
1721374283.0985022,813.1,0.0,4.0,4
1721374283.9650254,813.1,0.0,5.0,5
