Time,SR830 Frequency,SIM928 Voltage,Sequence Number
1721634737.995949,0.0,1.0,1
1721634738.7764542,0.0,2.0,2
1721634739.566125,0.0,3.0,3
1721634740.241697,0.0,4.0,4
1721634741.1223805,0.0,5.0,5
